cards,rank,hand_class
TC JC QC KC AC,1,ROYAL_FLUSH
9C TC JC QC KC,2,STRAIGHT_FLUSH
8C 9C TC JC QC,3,STRAIGHT_FLUSH
7C 8C 9C TC JC,4,STRAIGHT_FLUSH
6C 7C 8C 9C TC,5,STRAIGHT_FLUSH
5C 6C 7C 8C 9C,6,STRAIGHT_FLUSH
4C 5C 6C 7C 8C,7,STRAIGHT_FLUSH
3C 4C 5C 6C 7C,8,STRAIGHT_FLUSH
2C 3C 4C 5C 6C,9,STRAIGHT_FLUSH
2C 3C 4C 5C AC,10,STRAIGHT_FLUSH
KC AC AD AH AS,11,QUADS
QC AC AD AH AS,12,QUADS
JC AC AD AH AS,13,QUADS
TC AC AD AH AS,14,QUADS
9C AC AD AH AS,15,QUADS
8C AC AD AH AS,16,QUADS
7C AC AD AH AS,17,QUADS
6C AC AD AH AS,18,QUADS
5C AC AD AH AS,19,QUADS
4C AC AD AH AS,20,QUADS
3C AC AD AH AS,21,QUADS
2C AC AD AH AS,22,QUADS
KC KD KH KS AC,23,QUADS
QC KC KD KH KS,24,QUADS
JC KC KD KH KS,25,QUADS
TC KC KD KH KS,26,QUADS
9C KC KD KH KS,27,QUADS
8C KC KD KH KS,28,QUADS
7C KC KD KH KS,29,QUADS
6C KC KD KH KS,30,QUADS
5C KC KD KH KS,31,QUADS
4C KC KD KH KS,32,QUADS
3C KC KD KH KS,33,QUADS
2C KC KD KH KS,34,QUADS
QC QD QH QS AC,35,QUADS
QC QD QH QS KC,36,QUADS
JC QC QD QH QS,37,QUADS
TC QC QD QH QS,38,QUADS
9C QC QD QH QS,39,QUADS
8C QC QD QH QS,40,QUADS
7C QC QD QH QS,41,QUADS
6C QC QD QH QS,42,QUADS
5C QC QD QH QS,43,QUADS
4C QC QD QH QS,44,QUADS
3C QC QD QH QS,45,QUADS
2C QC QD QH QS,46,QUADS
JC JD JH JS AC,47,QUADS
JC JD JH JS KC,48,QUADS
JC JD JH JS QC,49,QUADS
TC JC JD JH JS,50,QUADS
9C JC JD JH JS,51,QUADS
8C JC JD JH JS,52,QUADS
7C JC JD JH JS,53,QUADS
6C JC JD JH JS,54,QUADS
5C JC JD JH JS,55,QUADS
4C JC JD JH JS,56,QUADS
3C JC JD JH JS,57,QUADS
2C JC JD JH JS,58,QUADS
TC TD TH TS AC,59,QUADS
TC TD TH TS KC,60,QUADS
TC TD TH TS QC,61,QUADS
TC TD TH TS JC,62,QUADS
9C TC TD TH TS,63,QUADS
8C TC TD TH TS,64,QUADS
7C TC TD TH TS,65,QUADS
6C TC TD TH TS,66,QUADS
5C TC TD TH TS,67,QUADS
4C TC TD TH TS,68,QUADS
3C TC TD TH TS,69,QUADS
2C TC TD TH TS,70,QUADS
9C 9D 9H 9S AC,71,QUADS
9C 9D 9H 9S KC,72,QUADS
9C 9D 9H 9S QC,73,QUADS
9C 9D 9H 9S JC,74,QUADS
9C 9D 9H 9S TC,75,QUADS
8C 9C 9D 9H 9S,76,QUADS
7C 9C 9D 9H 9S,77,QUADS
6C 9C 9D 9H 9S,78,QUADS
5C 9C 9D 9H 9S,79,QUADS
4C 9C 9D 9H 9S,80,QUADS
3C 9C 9D 9H 9S,81,QUADS
2C 9C 9D 9H 9S,82,QUADS
8C 8D 8H 8S AC,83,QUADS
8C 8D 8H 8S KC,84,QUADS
8C 8D 8H 8S QC,85,QUADS
8C 8D 8H 8S JC,86,QUADS
8C 8D 8H 8S TC,87,QUADS
8C 8D 8H 8S 9C,88,QUADS
7C 8C 8D 8H 8S,89,QUADS
6C 8C 8D 8H 8S,90,QUADS
5C 8C 8D 8H 8S,91,QUADS
4C 8C 8D 8H 8S,92,QUADS
3C 8C 8D 8H 8S,93,QUADS
2C 8C 8D 8H 8S,94,QUADS
7C 7D 7H 7S AC,95,QUADS
7C 7D 7H 7S KC,96,QUADS
7C 7D 7H 7S QC,97,QUADS
7C 7D 7H 7S JC,98,QUADS
7C 7D 7H 7S TC,99,QUADS
7C 7D 7H 7S 9C,100,QUADS
7C 7D 7H 7S 8C,101,QUADS
6C 7C 7D 7H 7S,102,QUADS
5C 7C 7D 7H 7S,103,QUADS
4C 7C 7D 7H 7S,104,QUADS
3C 7C 7D 7H 7S,105,QUADS
2C 7C 7D 7H 7S,106,QUADS
6C 6D 6H 6S AC,107,QUADS
6C 6D 6H 6S KC,108,QUADS
6C 6D 6H 6S QC,109,QUADS
6C 6D 6H 6S JC,110,QUADS
6C 6D 6H 6S TC,111,QUADS
6C 6D 6H 6S 9C,112,QUADS
6C 6D 6H 6S 8C,113,QUADS
6C 6D 6H 6S 7C,114,QUADS
5C 6C 6D 6H 6S,115,QUADS
4C 6C 6D 6H 6S,116,QUADS
3C 6C 6D 6H 6S,117,QUADS
2C 6C 6D 6H 6S,118,QUADS
5C 5D 5H 5S AC,119,QUADS
5C 5D 5H 5S KC,120,QUADS
5C 5D 5H 5S QC,121,QUADS
5C 5D 5H 5S JC,122,QUADS
5C 5D 5H 5S TC,123,QUADS
5C 5D 5H 5S 9C,124,QUADS
5C 5D 5H 5S 8C,125,QUADS
5C 5D 5H 5S 7C,126,QUADS
5C 5D 5H 5S 6C,127,QUADS
4C 5C 5D 5H 5S,128,QUADS
3C 5C 5D 5H 5S,129,QUADS
2C 5C 5D 5H 5S,130,QUADS
4C 4D 4H 4S AC,131,QUADS
4C 4D 4H 4S KC,132,QUADS
4C 4D 4H 4S QC,133,QUADS
4C 4D 4H 4S JC,134,QUADS
4C 4D 4H 4S TC,135,QUADS
4C 4D 4H 4S 9C,136,QUADS
4C 4D 4H 4S 8C,137,QUADS
4C 4D 4H 4S 7C,138,QUADS
4C 4D 4H 4S 6C,139,QUADS
4C 4D 4H 4S 5C,140,QUADS
3C 4C 4D 4H 4S,141,QUADS
2C 4C 4D 4H 4S,142,QUADS
3C 3D 3H 3S AC,143,QUADS
3C 3D 3H 3S KC,144,QUADS
3C 3D 3H 3S QC,145,QUADS
3C 3D 3H 3S JC,146,QUADS
3C 3D 3H 3S TC,147,QUADS
3C 3D 3H 3S 9C,148,QUADS
3C 3D 3H 3S 8C,149,QUADS
3C 3D 3H 3S 7C,150,QUADS
3C 3D 3H 3S 6C,151,QUADS
3C 3D 3H 3S 5C,152,QUADS
3C 3D 3H 3S 4C,153,QUADS
2C 3C 3D 3H 3S,154,QUADS
2C 2D 2H 2S AC,155,QUADS
2C 2D 2H 2S KC,156,QUADS
2C 2D 2H 2S QC,157,QUADS
2C 2D 2H 2S JC,158,QUADS
2C 2D 2H 2S TC,159,QUADS
2C 2D 2H 2S 9C,160,QUADS
2C 2D 2H 2S 8C,161,QUADS
2C 2D 2H 2S 7C,162,QUADS
2C 2D 2H 2S 6C,163,QUADS
2C 2D 2H 2S 5C,164,QUADS
2C 2D 2H 2S 4C,165,QUADS
2C 2D 2H 2S 3C,166,QUADS
KC KD AC AD AH,167,FULL_HOUSE
QC QD AC AD AH,168,FULL_HOUSE
JC JD AC AD AH,169,FULL_HOUSE
TC TD AC AD AH,170,FULL_HOUSE
9C 9D AC AD AH,171,FULL_HOUSE
8C 8D AC AD AH,172,FULL_HOUSE
7C 7D AC AD AH,173,FULL_HOUSE
6C 6D AC AD AH,174,FULL_HOUSE
5C 5D AC AD AH,175,FULL_HOUSE
4C 4D AC AD AH,176,FULL_HOUSE
3C 3D AC AD AH,177,FULL_HOUSE
2C 2D AC AD AH,178,FULL_HOUSE
KC KD KH AC AD,179,FULL_HOUSE
QC QD KC KD KH,180,FULL_HOUSE
JC JD KC KD KH,181,FULL_HOUSE
TC TD KC KD KH,182,FULL_HOUSE
9C 9D KC KD KH,183,FULL_HOUSE
8C 8D KC KD KH,184,FULL_HOUSE
7C 7D KC KD KH,185,FULL_HOUSE
6C 6D KC KD KH,186,FULL_HOUSE
5C 5D KC KD KH,187,FULL_HOUSE
4C 4D KC KD KH,188,FULL_HOUSE
3C 3D KC KD KH,189,FULL_HOUSE
2C 2D KC KD KH,190,FULL_HOUSE
QC QD QH AC AD,191,FULL_HOUSE
QC QD QH KC KD,192,FULL_HOUSE
JC JD QC QD QH,193,FULL_HOUSE
TC TD QC QD QH,194,FULL_HOUSE
9C 9D QC QD QH,195,FULL_HOUSE
8C 8D QC QD QH,196,FULL_HOUSE
7C 7D QC QD QH,197,FULL_HOUSE
6C 6D QC QD QH,198,FULL_HOUSE
5C 5D QC QD QH,199,FULL_HOUSE
4C 4D QC QD QH,200,FULL_HOUSE
3C 3D QC QD QH,201,FULL_HOUSE
2C 2D QC QD QH,202,FULL_HOUSE
JC JD JH AC AD,203,FULL_HOUSE
JC JD JH KC KD,204,FULL_HOUSE
JC JD JH QC QD,205,FULL_HOUSE
TC TD JC JD JH,206,FULL_HOUSE
9C 9D JC JD JH,207,FULL_HOUSE
8C 8D JC JD JH,208,FULL_HOUSE
7C 7D JC JD JH,209,FULL_HOUSE
6C 6D JC JD JH,210,FULL_HOUSE
5C 5D JC JD JH,211,FULL_HOUSE
4C 4D JC JD JH,212,FULL_HOUSE
3C 3D JC JD JH,213,FULL_HOUSE
2C 2D JC JD JH,214,FULL_HOUSE
TC TD TH AC AD,215,FULL_HOUSE
TC TD TH KC KD,216,FULL_HOUSE
TC TD TH QC QD,217,FULL_HOUSE
TC TD TH JC JD,218,FULL_HOUSE
9C 9D TC TD TH,219,FULL_HOUSE
8C 8D TC TD TH,220,FULL_HOUSE
7C 7D TC TD TH,221,FULL_HOUSE
6C 6D TC TD TH,222,FULL_HOUSE
5C 5D TC TD TH,223,FULL_HOUSE
4C 4D TC TD TH,224,FULL_HOUSE
3C 3D TC TD TH,225,FULL_HOUSE
2C 2D TC TD TH,226,FULL_HOUSE
9C 9D 9H AC AD,227,FULL_HOUSE
9C 9D 9H KC KD,228,FULL_HOUSE
9C 9D 9H QC QD,229,FULL_HOUSE
9C 9D 9H JC JD,230,FULL_HOUSE
9C 9D 9H TC TD,231,FULL_HOUSE
8C 8D 9C 9D 9H,232,FULL_HOUSE
7C 7D 9C 9D 9H,233,FULL_HOUSE
6C 6D 9C 9D 9H,234,FULL_HOUSE
5C 5D 9C 9D 9H,235,FULL_HOUSE
4C 4D 9C 9D 9H,236,FULL_HOUSE
3C 3D 9C 9D 9H,237,FULL_HOUSE
2C 2D 9C 9D 9H,238,FULL_HOUSE
8C 8D 8H AC AD,239,FULL_HOUSE
8C 8D 8H KC KD,240,FULL_HOUSE
